make: Nothing to be done for `all'. 
ASH: 4 threads, 512 models
Epochs: 1 || Local Duration: 797041 microseconds 

Epochs: 1 || Local Duration: 804804 microseconds 

Epochs: 1 || Local Duration: 806316 microseconds 

Epochs: 1 || Local Duration: 1387990 microseconds 

Epochs: 1 || Local Duration: 730398 microseconds 

Epochs: 1 || Local Duration: 727714 microseconds 

Epochs: 1 || Local Duration: 736144 microseconds 

Epochs: 1 || Local Duration: 768336 microseconds 

Epochs: 1 || Local Duration: 773144 microseconds 

Epochs: 1 || Local Duration: 767965 microseconds 

Epochs: 1 || Local Duration: 1303368 microseconds 

Epochs: 1 || Local Duration: 757531 microseconds 

Epochs: 1 || Local Duration: 747212 microseconds 

Epochs: 1 || Local Duration: 761197 microseconds 

Epochs: 1 || Local Duration: 771017 microseconds 

Epochs: 1 || Local Duration: 781659 microseconds 

Epochs: 1 || Local Duration: 789037 microseconds 

Epochs: 1 || Local Duration: 1357859 microseconds 

Epochs: 1 || Local Duration: 734047 microseconds 

Epochs: 1 || Local Duration: 725521 microseconds 

Epochs: 1 || Local Duration: 730344 microseconds 

Epochs: 1 || Local Duration: 760358 microseconds 

Epochs: 1 || Local Duration: 774176 microseconds 

Epochs: 1 || Local Duration: 765388 microseconds 

Epochs: 1 || Local Duration: 1330329 microseconds 

Epochs: 1 || Local Duration: 732418 microseconds 

Epochs: 1 || Local Duration: 748952 microseconds 

Epochs: 1 || Local Duration: 739761 microseconds 

Epochs: 1 || Local Duration: 1408777 microseconds 

Epochs: 1 || Local Duration: 750565 microseconds 

Epochs: 1 || Local Duration: 724728 microseconds 

Epochs: 1 || Local Duration: 741901 microseconds 

Epochs: 1 || Local Duration: 768962 microseconds 

Epochs: 1 || Local Duration: 770670 microseconds 

Epochs: 1 || Local Duration: 787287 microseconds 

Epochs: 1 || Local Duration: 1354980 microseconds 

Epochs: 1 || Local Duration: 730778 microseconds 

