make: Nothing to be done for `all'.
SH: 256 models
Epochs: 1 || Local Duration: 340760 microseconds 

Epochs: 1 || Local Duration: 328806 microseconds 

Epochs: 1 || Local Duration: 340957 microseconds 

Epochs: 1 || Local Duration: 339414 microseconds 

Epochs: 1 || Local Duration: 465968 microseconds 

Epochs: 1 || Local Duration: 625352 microseconds 

Epochs: 1 || Local Duration: 414455 microseconds 

Epochs: 1 || Local Duration: 330512 microseconds 

Epochs: 1 || Local Duration: 329649 microseconds 

Epochs: 1 || Local Duration: 327946 microseconds 

Epochs: 1 || Local Duration: 328750 microseconds 

Epochs: 1 || Local Duration: 329241 microseconds 

Epochs: 1 || Local Duration: 328707 microseconds 

Epochs: 1 || Local Duration: 329224 microseconds 

Epochs: 1 || Local Duration: 328908 microseconds 

Epochs: 1 || Local Duration: 336515 microseconds 

Epochs: 1 || Local Duration: 336556 microseconds 

Epochs: 1 || Local Duration: 336354 microseconds 

Epochs: 1 || Local Duration: 328291 microseconds 

Epochs: 1 || Local Duration: 328741 microseconds 

Epochs: 1 || Local Duration: 328146 microseconds 

Epochs: 1 || Local Duration: 335181 microseconds 

Epochs: 1 || Local Duration: 337243 microseconds 

Epochs: 1 || Local Duration: 335858 microseconds 

Epochs: 1 || Local Duration: 331315 microseconds 

Epochs: 1 || Local Duration: 331706 microseconds 

Epochs: 1 || Local Duration: 331943 microseconds 

Epochs: 1 || Local Duration: 329181 microseconds 

Epochs: 1 || Local Duration: 329837 microseconds 

Epochs: 1 || Local Duration: 329255 microseconds 

Epochs: 1 || Local Duration: 336555 microseconds 

Epochs: 1 || Local Duration: 335709 microseconds 

Epochs: 1 || Local Duration: 335193 microseconds 

Epochs: 1 || Local Duration: 328955 microseconds 

Epochs: 1 || Local Duration: 329839 microseconds 

Epochs: 1 || Local Duration: 329583 microseconds 

Epochs: 1 || Local Duration: 341259 microseconds 

Epochs: 1 || Local Duration: 340519 microseconds 

Epochs: 1 || Local Duration: 340522 microseconds 

Epochs: 1 || Local Duration: 331093 microseconds 

Epochs: 1 || Local Duration: 331006 microseconds 

Epochs: 1 || Local Duration: 329923 microseconds 

Epochs: 1 || Local Duration: 344382 microseconds 

Epochs: 1 || Local Duration: 344416 microseconds 

Epochs: 1 || Local Duration: 343990 microseconds 

Epochs: 1 || Local Duration: 339251 microseconds 

Epochs: 1 || Local Duration: 339404 microseconds 

Epochs: 1 || Local Duration: 340375 microseconds 

Epochs: 1 || Local Duration: 333126 microseconds 

Epochs: 1 || Local Duration: 333595 microseconds 

Epochs: 1 || Local Duration: 332972 microseconds 

Epochs: 1 || Local Duration: 329985 microseconds 

Epochs: 1 || Local Duration: 329650 microseconds 

Epochs: 1 || Local Duration: 407994 microseconds 

Epochs: 1 || Local Duration: 593199 microseconds 

Epochs: 1 || Local Duration: 528804 microseconds 

Epochs: 1 || Local Duration: 335135 microseconds 

Epochs: 1 || Local Duration: 334307 microseconds 

Epochs: 1 || Local Duration: 335212 microseconds 

Epochs: 1 || Local Duration: 330101 microseconds 

Epochs: 1 || Local Duration: 330180 microseconds 

Epochs: 1 || Local Duration: 333037 microseconds 

Epochs: 1 || Local Duration: 328411 microseconds 

